,CE1,CE2,CE3,CE4,CE161,CE162,CE163,CE164,CE165,JWM1,JWM2,JWM3,JWM4,NH1,NH2,NH3,NH4,NH5
ASV_1,125,167,225,211,550,312,566,616,529,3,2,0,2,171,383,228,463,287
ASV_2,220,277,204,341,482,752,529,849,451,0,0,0,0,82,170,63,53,105
ASV_3,172,322,437,197,665,594,600,556,422,0,0,0,0,22,37,18,43,38
ASV_4,297,387,961,282,382,559,271,281,29,0,0,0,0,14,12,10,12,5
ASV_5,62,307,176,34,180,141,74,782,779,0,0,1,0,24,13,2,3,3
ASV_6,108,261,242,93,271,251,224,567,362,0,0,0,0,11,13,5,0,6
ASV_7,106,156,307,151,86,287,107,72,10,0,0,0,0,155,286,100,170,313
ASV_8,19,6,51,21,15,15,34,2,3,19,9,4,1,214,383,69,372,1026
ASV_9,106,155,265,179,160,264,235,157,94,0,0,0,1,58,166,78,122,171
ASV_10,48,76,213,107,184,154,161,101,55,0,0,1,0,139,227,154,259,181
ASV_11,32,257,93,38,36,46,28,630,620,0,0,0,0,30,31,10,7,34
ASV_12,116,222,345,174,168,287,156,163,179,0,0,3,0,3,11,3,7,32
ASV_13,181,301,319,142,191,344,91,86,25,1,0,0,0,31,22,10,14,33
ASV_14,178,198,410,133,97,285,94,162,60,0,0,0,0,9,27,4,18,27
ASV_15,37,97,60,154,46,59,13,45,54,0,0,0,0,254,258,163,165,282
ASV_16,64,130,305,95,201,230,257,139,122,0,1,0,0,5,18,12,35,21
ASV_17,60,134,301,81,106,142,129,159,132,1,0,0,0,33,51,46,61,66
ASV_18,49,91,205,91,74,147,56,44,20,0,0,0,0,75,141,134,194,180
ASV_19,68,132,220,60,99,200,86,140,123,0,0,0,0,19,68,27,53,92
ASV_20,82,106,219,133,166,206,188,82,28,0,0,0,0,18,35,8,23,68
ASV_21,9,10,28,13,10,10,18,7,11,0,1,0,0,96,294,141,284,324
ASV_22,64,124,236,100,142,141,144,184,119,0,0,0,0,0,0,0,0,0
ASV_23,67,66,201,100,115,131,155,61,47,0,0,0,0,44,72,49,81,59
ASV_24,5,132,9,6,135,62,36,337,479,0,0,0,0,0,1,0,1,0
ASV_25,30,69,101,70,83,74,86,75,53,0,0,0,0,64,136,83,141,134
ASV_26,27,48,118,29,36,44,72,56,15,0,0,0,0,69,178,89,254,160
ASV_27,52,42,53,67,97,104,562,77,87,0,0,1,2,4,15,12,1,3
ASV_28,5,6,0,9,5,18,2,3,0,0,0,0,0,154,246,177,206,339
ASV_29,68,54,65,59,59,50,112,43,39,9,533,18,23,5,3,3,9,2
ASV_30,47,43,63,87,16,35,12,10,7,0,0,0,0,110,226,153,154,179
ASV_31,37,37,153,78,66,87,75,50,37,0,0,0,0,76,106,85,119,87
ASV_32,46,69,164,72,177,161,198,76,24,0,0,0,0,11,36,10,26,20
