,Kingdom,Phylum,Class,Order,Family,Genus,,,,,
ASV_1748,Bacteria,Acidobacteriota,Blastocatellia,Nov-24,NA,NA,,,,,
ASV_1378,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,,,,,
ASV_1749,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,,,,,
ASV_1909,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,,,,,
ASV_2242,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,,,,,
ASV_2425,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,,,,,
ASV_2454,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,,,,,
ASV_2613,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,,,,,
ASV_2786,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,,,,,
ASV_2815,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,,,,,
ASV_2822,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,,,,,
ASV_2893,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,,,,,
ASV_2912,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,,,,,
ASV_3033,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,,,,,
ASV_3293,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,,,,,
ASV_1196,Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,NA,NA,,,,,
ASV_1219,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,,,,,
ASV_2609,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,,,,,
ASV_2718,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,,,,,
ASV_2930,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,,,,,
ASV_3049,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,,,,,
ASV_3271,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,,,,,
ASV_3131,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales_(SR1),NA,NA,,,,,
ASV_1289,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseococcus,,,,,
ASV_1876,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,,,,,
ASV_1919,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodovastum,,,,,
ASV_2451,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodovarius,,,,,
ASV_1611,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,NA,,,,,
ASV_2148,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Acidiferrobacter,,,,,
ASV_2866,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,NA,,,,,
ASV_1990,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,NA,NA,,,,,
ASV_1484,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriae_or,Acidobacteriae_fa,Paludibaculum,,,,,
ASV_1566,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriae_or,Acidobacteriae_fa,Paludibaculum,,,,,
ASV_477,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriae_or,Acidobacteriae_fa,Paludibaculum,,,,,
ASV_1048,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,NA,NA,,,,,
ASV_105,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,NA,NA,,,,,
ASV_1119,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,NA,NA,,,,,
ASV_1133,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,NA,NA,,,,,
ASV_1168,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,NA,NA,,,,,
ASV_119,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,NA,NA,,,,,
