,CE1,CE2,CE3,CE4,CE161,CE162,CE163,CE164,CE165,JWM1,JWM2,JWM3,JWM4,NH1,NH2,NH3,NH4,NH5,TV0170,TV0422,TV0426,TV0437
ASV_1,0,0,0,0,0,0,0,0,0,36,36,32,16,1,1,2,0,0,1595,2272,819,1974
ASV_2,0,0,0,0,0,0,0,0,0,2,5,6,3,0,0,0,0,0,3814,2051,740,1481
ASV_3,0,0,0,0,0,0,0,0,0,1,8,9,5,0,0,0,0,0,6809,2998,2,31
ASV_4,0,0,0,0,0,0,0,0,0,7,4,9,8,0,0,0,0,0,413,330,6704,536
ASV_5,0,0,0,0,0,0,0,0,0,5,3,7,7,0,0,0,0,0,218,345,10,5553
ASV_6,0,0,0,0,0,0,0,0,0,71,119,100,105,0,0,0,0,0,64,55,3679,946
ASV_7,0,0,0,0,0,0,0,0,0,10,15,11,4,0,0,0,0,0,3351,881,32,44
ASV_8,0,0,0,0,0,0,0,0,0,0,1,8,3,0,0,0,0,0,2030,660,468,397
ASV_9,0,0,0,0,0,0,0,0,0,28,36,25,50,0,0,0,0,0,540,85,303,2978
ASV_10,0,0,0,0,0,0,0,0,0,9,21,6,16,0,0,0,0,0,918,152,104,1843
ASV_11,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,3557,828,4,16
ASV_12,0,0,0,0,0,0,0,0,0,9,7,11,9,0,0,0,0,0,2728,690,12,82
ASV_13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3806,1218,0,0
ASV_14,0,0,0,0,0,0,0,0,0,4,3,2,1,0,0,0,0,0,2198,686,229,205
ASV_15,125,166,223,211,548,311,564,615,528,1,0,0,0,172,381,228,461,287,0,0,0,0
ASV_16,0,0,0,0,0,0,0,0,0,1,3,4,1,0,0,0,0,0,570,510,830,90
ASV_17,218,277,201,335,475,746,524,846,440,0,0,0,0,81,167,63,52,105,0,0,0,0
ASV_18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2262,793,3,100
ASV_19,0,0,0,0,0,0,0,0,0,12,3,2,3,0,0,0,0,0,335,201,1032,204
ASV_20,176,325,439,205,676,607,607,567,428,0,0,0,0,20,37,19,42,41,0,0,0,1
ASV_21,0,0,0,0,0,0,0,0,0,29,17,24,14,0,0,0,0,0,565,189,1036,91
ASV_22,297,387,961,282,383,559,270,281,29,0,0,0,0,14,12,10,12,5,0,0,0,0
ASV_23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2295,611,1,0
ASV_24,0,0,0,0,0,0,0,0,0,10,4,8,8,0,0,0,0,0,665,294,10,859
ASV_25,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,2,0,227,87,229,878
ASV_26,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,4,2064,186
ASV_27,0,0,0,0,0,0,0,0,0,91,83,81,67,1,0,0,0,0,9,1,1811,266
ASV_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2481,288,2,26
ASV_29,0,0,0,0,0,0,0,0,0,3,2,0,5,0,0,0,0,0,1340,519,52,144
ASV_30,0,0,0,0,0,0,0,0,0,10,30,19,18,0,0,0,0,0,11,9,891,755
ASV_31,70,326,188,35,191,148,80,858,840,0,0,0,0,25,13,2,3,3,0,0,0,0
ASV_32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1116,742,129,218
ASV_33,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,17,1,1002,186
ASV_34,0,0,0,0,0,0,0,0,1,7,37,24,40,0,0,0,0,0,6,8,2352,54
ASV_35,0,0,0,0,0,0,0,0,0,7,20,16,14,0,0,1,0,0,324,16,934,421
ASV_36,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,1917,502,0,12
ASV_37,0,0,0,0,0,0,0,0,0,4,2,1,11,0,0,0,0,0,283,41,425,97
ASV_38,0,0,0,0,0,0,0,0,0,14,25,20,14,0,0,0,0,0,704,157,52,26
ASV_39,0,0,0,0,0,0,0,0,0,14,5,12,14,0,0,0,0,0,1,1,821,922
ASV_40,107,261,241,93,271,248,223,567,361,0,0,0,0,11,13,5,0,6,0,0,0,0
ASV_41,50,98,247,117,213,184,191,124,78,0,0,1,0,164,256,185,282,212,0,0,0,0
ASV_42,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,30,21,669,120
ASV_43,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,50,22,3,1493
ASV_44,20,7,54,23,17,19,41,3,4,20,11,10,1,220,395,73,376,1043,0,0,0,0
ASV_45,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,176,127,803,165
ASV_46,106,154,303,151,86,287,107,72,10,0,0,0,0,154,285,100,170,313,0,0,0,0
ASV_47,0,0,0,0,0,0,0,0,0,3,4,6,1,0,0,0,0,0,81,48,578,447
